Down,Yards,QB,QB Sacks,QB Years,QB Height,QB Weight,QB Fumbles,QB Rush Att,QB Passer Rating,Receiver ID,Receiver Pos,Receiver Years,Receiver Height,Receiver Weight,Team,Intercepted,Success
2,6,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,0
3,6,B.Hoyer,36,7,74,215,6,15,91.6,377,WR,5,72,202,HOU,0,0
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,2,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,13,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,0
3,13,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,0
3,8,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,1,0
2,5,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,1,0
1,10,B.Hoyer,36,7,74,215,6,15,91.6,375,TE,2,77,265,HOU,0,1
3,7,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,6,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
3,5,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
3,4,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,17,B.Hoyer,36,7,74,215,6,15,91.6,377,WR,5,72,202,HOU,0,1
3,12,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,0
1,10,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,0,1
2,4,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,2,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
2,3,B.Hoyer,36,7,74,215,6,15,91.6,372,RB,2,74,223,HOU,1,0
3,12,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,0
2,9,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,1,0
1,10,A.Smith,45,11,76,217,4,84,96.8,402,WR,2,69,200,KC,0,1
2,6,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
3,6,B.Hoyer,36,7,74,215,6,15,91.6,373,RB,3,70,209,HOU,0,1
3,2,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
2,10,B.Hoyer,36,7,74,215,6,15,91.6,377,WR,5,72,202,HOU,0,0
3,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,3,A.Smith,45,11,76,217,4,84,96.8,1137,RB,2,70,205,KC,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,0
2,10,A.Smith,45,11,76,217,4,84,96.8,403,WR,7,72,198,KC,0,1
3,3,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
1,10,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
2,8,A.Smith,45,11,76,217,4,84,96.8,1111,WR,0,74,205,KC,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,376,WR,11,73,183,HOU,0,0
2,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
3,10,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
2,11,A.Smith,45,11,76,217,4,84,96.8,405,TE,3,77,260,KC,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
2,10,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,373,RB,3,70,209,HOU,0,1
3,3,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,1
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
1,20,B.Hoyer,36,7,74,215,6,15,91.6,1193,WR,0,74,217,HOU,0,1
2,3,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,1
2,7,B.Hoyer,36,7,74,215,6,15,91.6,378,TE,3,78,254,HOU,0,0
3,7,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
1,10,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,1,0
3,7,A.Smith,45,11,76,217,4,84,96.8,1478,WR,2,73,184,KC,0,1
2,8,B.Hoyer,36,7,74,215,6,15,91.6,379,WR,3,73,218,HOU,0,0
3,8,B.Hoyer,36,7,74,215,6,15,91.6,1193,WR,0,74,217,HOU,0,0
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,1256,WR,2,76,211,PIT,0,1
3,7,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,0
1,10,A.McCarron,31,1,75,210,1,14,97.1,614,WR,5,76,207,CIN,0,1
3,11,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,1
2,1,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,1256,WR,2,76,211,PIT,0,0
2,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
3,6,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
2,11,A.McCarron,31,1,75,210,1,14,97.1,615,WR,4,74,198,CIN,0,1
1,15,A.McCarron,31,1,75,210,1,14,97.1,614,WR,5,76,207,CIN,0,1
3,12,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,1
2,11,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,1
3,3,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,0
3,2,B.Roethlisberger,33,12,77,240,2,15,94.4,1482,RB,2,70,211,PIT,0,1
2,8,A.McCarron,31,1,75,210,1,14,97.1,616,WR,4,74,210,CIN,0,1
3,3,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,0
2,8,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,0
3,8,B.Roethlisberger,33,12,77,240,2,15,94.4,32,WR,3,71,189,PIT,0,0
2,6,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,1482,RB,2,70,211,PIT,0,0
2,10,B.Roethlisberger,33,12,77,240,2,15,94.4,32,WR,3,71,189,PIT,0,1
2,13,A.McCarron,31,1,75,210,1,14,97.1,612,RB,2,73,235,CIN,0,0
3,13,A.McCarron,31,1,75,210,1,14,97.1,615,WR,4,74,198,CIN,1,0
2,25,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
3,2,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,0
1,10,A.McCarron,31,1,75,210,1,14,97.1,611,RB,3,69,205,CIN,0,1
2,6,A.McCarron,31,1,75,210,1,14,97.1,617,TE,3,78,250,CIN,0,0
3,6,A.McCarron,31,1,75,210,1,14,97.1,614,WR,5,76,207,CIN,0,0
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,1482,RB,2,70,211,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,33,TE,11,77,256,PIT,0,1
2,6,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,1482,RB,2,70,211,PIT,0,0
2,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,1
2,15,B.Roethlisberger,33,12,77,240,2,15,94.4,32,WR,3,71,189,PIT,0,1
1,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,0
3,10,B.Roethlisberger,33,12,77,240,2,15,94.4,34,WR,6,70,181,PIT,0,0
2,8,A.McCarron,31,1,75,210,1,14,97.1,615,WR,4,74,198,CIN,0,1
3,3,A.McCarron,31,1,75,210,1,14,97.1,616,WR,4,74,210,CIN,0,1
1,10,A.McCarron,31,1,75,210,1,14,97.1,614,WR,5,76,207,CIN,0,0
3,7,B.Roethlisberger,33,12,77,240,2,15,94.4,31,WR,7,74,210,PIT,0,0
2,10,A.McCarron,31,1,75,210,1,14,97.1,614,WR,5,76,207,CIN,0,1
2,11,A.McCarron,31,1,75,210,1,14,97.1,611,RB,3,69,205,CIN,0,0
